,raceId,driverCode,teamName,startingGridPosition,position,positionDiff,circuitName,raceName,year,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,lapTireChange
111,995,VER,Red Bull,3,3,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,16: HYPERSOFT->SUPERSOFT
112,995,VET,Ferrari,1,1,0,Circuit Gilles Villeneuve,Canadian Grand Prix,2018,20.5,28.3,41.5,2.2,False,37: ULTRASOFT->SUPERSOFT
130,997,ALO,McLaren,13,8,5,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: SUPERSOFT->SOFT
131,997,ERI,Sauber,20,10,10,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,45: SOFT->SUPERSOFT
132,997,GAS,Toro Rosso,12,11,1,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: SUPERSOFT->SOFT
133,997,GRO,Haas F1 Team,5,4,1,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: ULTRASOFT->SOFT
134,997,LEC,Sauber,18,9,9,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: SUPERSOFT->SOFT
135,997,MAG,Haas F1 Team,8,5,3,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,28: ULTRASOFT->SOFT
136,997,OCO,Force India,11,6,5,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: SUPERSOFT->SOFT
137,997,PER,Force India,16,7,9,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,27: SUPERSOFT->SOFT
138,997,RAI,Ferrari,3,2,1,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: ULTRASOFT->SOFT
139,997,SAI,Renault,9,12,-3,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,"15: ULTRASOFT->SOFT, 34: SOFT->SUPERSOFT"
140,997,SIR,Williams,17,13,4,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,"24: SUPERSOFT->SOFT, 60: SOFT->ULTRASOFT"
141,997,STR,Williams,14,14,0,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,"15: ULTRASOFT->SOFT, 65: SOFT->SUPERSOFT"
142,997,VAN,McLaren,15,15,0,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,"1: nan->SOFT, 40: SOFT->SOFT"
143,997,VER,Red Bull,4,1,3,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: SUPERSOFT->SOFT
144,997,VET,Ferrari,6,3,3,Red Bull Ring,Austrian Grand Prix,2018,22.7,37.6,48.6,1.5,False,15: ULTRASOFT->SOFT
145,998,ALO,McLaren,13,8,5,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,"13: SOFT->MEDIUM, 32: MEDIUM->SOFT"
146,998,BOT,Mercedes,4,4,0,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,21: SOFT->MEDIUM
147,998,GAS,Toro Rosso,14,13,1,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,"20: SOFT->MEDIUM, 32: MEDIUM->SOFT"
148,998,HAM,Mercedes,1,2,-1,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,25: SOFT->MEDIUM
149,998,HUL,Renault,11,6,5,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,20: MEDIUM->HARD
150,998,MAG,Haas F1 Team,7,9,-2,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,25: SOFT->MEDIUM
151,998,OCO,Force India,10,7,3,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,19: SOFT->MEDIUM
152,998,PER,Force India,12,10,2,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,"13: SOFT->MEDIUM, 32: MEDIUM->SOFT"
153,998,RAI,Ferrari,3,3,0,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,"13: SOFT->MEDIUM, 33: MEDIUM->SOFT"
154,998,RIC,Red Bull,6,5,1,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,"18: SOFT->MEDIUM, 30: MEDIUM->SOFT"
155,998,SIR,Williams,18,14,4,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,21: SOFT->MEDIUM
156,998,STR,Williams,19,12,7,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,30: MEDIUM->SOFT
157,998,VAN,McLaren,17,11,6,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,"21: SOFT->MEDIUM, 33: MEDIUM->SOFT"
158,998,VET,Ferrari,2,1,1,Silverstone Circuit,British Grand Prix,2018,26.6,40.0,52.1,1.1,False,"20: SOFT->MEDIUM, 33: MEDIUM->SOFT"
175,1000,ALO,McLaren,11,8,3,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,39: SOFT->MEDIUM
176,1000,BOT,Mercedes,2,5,-3,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,15: ULTRASOFT->SOFT
177,1000,ERI,Sauber,14,15,-1,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,6: ULTRASOFT->MEDIUM
178,1000,GAS,Toro Rosso,6,6,0,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,32: ULTRASOFT->SOFT
179,1000,GRO,Haas F1 Team,10,10,0,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,29: ULTRASOFT->SOFT
180,1000,HAM,Mercedes,1,1,0,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,25: ULTRASOFT->SOFT
181,1000,HAR,Toro Rosso,8,11,-3,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,24: ULTRASOFT->MEDIUM
182,1000,HUL,Renault,13,12,1,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,"23: SOFT->MEDIUM, 50: MEDIUM->ULTRASOFT"
183,1000,MAG,Haas F1 Team,9,7,2,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,31: ULTRASOFT->SOFT
184,1000,OCO,Force India,18,13,5,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,39: SOFT->ULTRASOFT
185,1000,PER,Force India,19,14,5,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,22: ULTRASOFT->SOFT
186,1000,RAI,Ferrari,3,3,0,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,"14: ULTRASOFT->SOFT, 38: SOFT->SOFT"
187,1000,RIC,Red Bull,12,4,8,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,44: SOFT->ULTRASOFT
188,1000,SAI,Renault,5,9,-4,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,25: SOFT->MEDIUM
189,1000,SIR,Williams,20,16,4,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,31: SOFT->MEDIUM
190,1000,STR,Williams,15,17,-2,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,47: MEDIUM->ULTRASOFT
191,1000,VET,Ferrari,4,2,2,Hungaroring,Hungarian Grand Prix,2018,34.2,34.3,57.0,0.5,False,39: SOFT->ULTRASOFT
192,1001,BOT,Mercedes,19,4,15,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SOFT, 2: SOFT->SUPERSOFT, 29: SUPERSOFT->SOFT"
193,1001,ERI,Sauber,13,10,3,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SOFT, 26: SOFT->SUPERSOFT"
194,1001,GAS,Toro Rosso,10,9,1,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SUPERSOFT, 25: SUPERSOFT->SOFT"
195,1001,GRO,Haas F1 Team,5,7,-2,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SUPERSOFT, 23: SUPERSOFT->SOFT"
196,1001,HAM,Mercedes,1,2,-1,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SUPERSOFT, 21: SUPERSOFT->SOFT"
197,1001,HAR,Toro Rosso,11,14,-3,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SOFT, 31: SOFT->SUPERSOFT"
198,1001,MAG,Haas F1 Team,9,8,1,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SUPERSOFT, 26: SUPERSOFT->SOFT"
199,1001,OCO,Force India,3,6,-3,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SUPERSOFT, 24: SUPERSOFT->SOFT"
200,1001,PER,Force India,4,5,-1,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SUPERSOFT, 25: SUPERSOFT->SOFT"
201,1001,SAI,Renault,14,11,3,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->MEDIUM, 22: MEDIUM->SUPERSOFT"
202,1001,SIR,Williams,16,12,4,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SOFT, 24: SOFT->SUPERSOFT"
203,1001,STR,Williams,17,13,4,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SOFT, 23: SOFT->SUPERSOFT"
204,1001,VAN,McLaren,18,15,3,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SOFT, 2: SOFT->MEDIUM, 28: MEDIUM->SUPERSOFT"
205,1001,VER,Red Bull,7,3,4,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->SUPERSOFT, 26: SUPERSOFT->SOFT"
206,1001,VET,Ferrari,2,1,1,Circuit de Spa-Francorchamps,Belgian Grand Prix,2018,17.2,38.7,29.5,1.1,False,"1: nan->nan, 22: SUPERSOFT->SOFT"
223,1003,ALO,McLaren,11,7,4,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,38: ULTRASOFT->SOFT
224,1003,BOT,Mercedes,4,4,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,16: HYPERSOFT->SOFT
225,1003,ERI,Sauber,14,11,3,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,44: ULTRASOFT->ULTRASOFT
226,1003,GAS,Toro Rosso,15,13,2,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,26: HYPERSOFT->ULTRASOFT
227,1003,GRO,Haas F1 Team,8,15,-7,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,16: HYPERSOFT->SOFT
228,1003,HAM,Mercedes,1,1,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,15: HYPERSOFT->SOFT
229,1003,HAR,Toro Rosso,17,17,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,"14: HYPERSOFT->ULTRASOFT, 36: ULTRASOFT->HYPERSOFT"
230,1003,HUL,Renault,10,10,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,15: HYPERSOFT->ULTRASOFT
231,1003,LEC,Sauber,13,9,4,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,38: ULTRASOFT->HYPERSOFT
232,1003,MAG,Haas F1 Team,16,18,-2,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,"26: ULTRASOFT->SOFT, 36: SOFT->HYPERSOFT, 48: HYPERSOFT->HYPERSOFT"
233,1003,PER,Force India,7,16,-9,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,"17: HYPERSOFT->ULTRASOFT, 33: ULTRASOFT->SOFT, 39: SOFT->SOFT"
234,1003,RAI,Ferrari,5,5,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,22: HYPERSOFT->SOFT
235,1003,RIC,Red Bull,6,6,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,27: HYPERSOFT->ULTRASOFT
236,1003,SAI,Renault,12,8,4,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,37: ULTRASOFT->SOFT
237,1003,SIR,Williams,19,19,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,"3: ULTRASOFT->SOFT, 45: SOFT->SOFT"
238,1003,STR,Williams,20,14,6,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,40: SOFT->ULTRASOFT
239,1003,VAN,McLaren,18,12,6,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,43: ULTRASOFT->ULTRASOFT
240,1003,VER,Red Bull,2,2,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,17: HYPERSOFT->SOFT
241,1003,VET,Ferrari,3,3,0,Marina Bay Street Circuit,Singapore Grand Prix,2018,29.9,64.1,34.2,1.8,False,14: HYPERSOFT->ULTRASOFT
260,1005,ALO,McLaren,18,14,4,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,26: SOFT->MEDIUM
261,1005,BOT,Mercedes,2,2,0,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,23: SOFT->MEDIUM
262,1005,ERI,Sauber,20,12,8,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,5: SOFT->MEDIUM
263,1005,GAS,Toro Rosso,7,11,-4,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,29: SUPERSOFT->SOFT
264,1005,GRO,Haas F1 Team,5,8,-3,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,29: SOFT->MEDIUM
265,1005,HAM,Mercedes,1,1,0,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,24: SOFT->MEDIUM
266,1005,HAR,Toro Rosso,6,13,-7,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,28: SUPERSOFT->SOFT
267,1005,OCO,Force India,11,9,2,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,26: SUPERSOFT->MEDIUM
268,1005,PER,Force India,9,7,2,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,24: SUPERSOFT->SOFT
269,1005,RAI,Ferrari,4,5,-1,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,17: SUPERSOFT->MEDIUM
270,1005,RIC,Red Bull,15,4,11,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,23: SOFT->SUPERSOFT
271,1005,SAI,Renault,13,10,3,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,32: SOFT->MEDIUM
272,1005,SIR,Williams,17,16,1,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,"4: SOFT->MEDIUM, 38: MEDIUM->SUPERSOFT"
273,1005,STR,Williams,14,17,-3,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,"14: SOFT->MEDIUM, 39: MEDIUM->SUPERSOFT"
274,1005,VAN,McLaren,19,15,4,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,23: SOFT->MEDIUM
275,1005,VER,Red Bull,3,3,0,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,21: SUPERSOFT->SOFT
276,1005,VET,Ferrari,8,6,2,Suzuka Circuit,Japanese Grand Prix,2018,28.6,49.4,39.4,1.5,False,26: SUPERSOFT->SOFT
277,1006,BOT,Mercedes,3,5,-2,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,23: SUPERSOFT->SOFT
278,1006,ERI,Sauber,16,10,6,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,30: SOFT->SUPERSOFT
279,1006,GAS,Toro Rosso,19,12,7,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,"10: SUPERSOFT->SOFT, 36: SOFT->ULTRASOFT"
280,1006,HAM,Mercedes,1,3,-2,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,"11: SUPERSOFT->SOFT, 37: SOFT->SOFT"
281,1006,HAR,Toro Rosso,20,9,11,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,27: SUPERSOFT->SOFT
282,1006,HUL,Renault,7,6,1,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,23: ULTRASOFT->SOFT
283,1006,PER,Force India,10,8,2,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,25: ULTRASOFT->SOFT
284,1006,RAI,Ferrari,2,1,1,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,21: ULTRASOFT->SOFT
285,1006,SAI,Renault,11,7,4,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,24: SUPERSOFT->SOFT
286,1006,SIR,Williams,14,13,1,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,"10: SUPERSOFT->SOFT, 29: SOFT->SUPERSOFT"
287,1006,STR,Williams,15,14,1,Circuit of the Americas,United States Grand Prix,2018,20.7,41.3,27.6,2.4,False,"1: SUPERSOFT->SUPERSOFT, 5: SOFT->SOFT, 38: SOFT->ULTRASOFT"
