,raceId,driverId,grid,position,constructorId,lap,code,year,name_x,circuitId,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,diff,name_y,circuitRef,name
45,989,838,11,9,1,25,VAN,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,2,McLaren,albert_park,Albert Park Grand Prix Circuit
46,1010,846,8,12,1,15,NOR,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,-4,McLaren,albert_park,Albert Park Grand Prix Circuit
47,900,18,10,3,1,11,BUT,2014,Australian Grand Prix,1,,,,,,7,McLaren,albert_park,Albert Park Grand Prix Circuit
48,900,18,10,3,1,32,BUT,2014,Australian Grand Prix,1,,,,,,7,McLaren,albert_park,Albert Park Grand Prix Circuit
49,900,825,4,2,1,12,MAG,2014,Australian Grand Prix,1,,,,,,2,McLaren,albert_park,Albert Park Grand Prix Circuit
50,900,825,4,2,1,37,MAG,2014,Australian Grand Prix,1,,,,,,2,McLaren,albert_park,Albert Park Grand Prix Circuit
51,841,808,6,3,4,16,PET,2011,Australian Grand Prix,1,,,,,,3,Renault,albert_park,Albert Park Grand Prix Circuit
52,841,808,6,3,4,36,PET,2011,Australian Grand Prix,1,,,,,,3,Renault,albert_park,Albert Park Grand Prix Circuit
53,841,2,18,12,4,15,HEI,2011,Australian Grand Prix,1,,,,,,6,Renault,albert_park,Albert Park Grand Prix Circuit
54,841,2,18,12,4,30,HEI,2011,Australian Grand Prix,1,,,,,,6,Renault,albert_park,Albert Park Grand Prix Circuit
55,948,825,14,12,4,1,MAG,2016,Australian Grand Prix,1,,,,,,2,Renault,albert_park,Albert Park Grand Prix Circuit
56,948,825,14,12,4,16,MAG,2016,Australian Grand Prix,1,,,,,,2,Renault,albert_park,Albert Park Grand Prix Circuit
57,948,825,14,12,4,17,MAG,2016,Australian Grand Prix,1,,,,,,2,Renault,albert_park,Albert Park Grand Prix Circuit
58,948,835,13,11,4,12,PAL,2016,Australian Grand Prix,1,,,,,,2,Renault,albert_park,Albert Park Grand Prix Circuit
59,948,835,13,11,4,18,PAL,2016,Australian Grand Prix,1,,,,,,2,Renault,albert_park,Albert Park Grand Prix Circuit
60,969,807,11,11,4,16,HUL,2017,Australian Grand Prix,1,,,,,,0,Renault,albert_park,Albert Park Grand Prix Circuit
61,969,807,11,11,4,30,HUL,2017,Australian Grand Prix,1,,,,,,0,Renault,albert_park,Albert Park Grand Prix Circuit
62,989,807,7,7,4,24,HUL,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,0,Renault,albert_park,Albert Park Grand Prix Circuit
63,989,832,9,10,4,22,SAI,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,-1,Renault,albert_park,Albert Park Grand Prix Circuit
64,1010,807,11,7,4,13,HUL,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,4,Renault,albert_park,Albert Park Grand Prix Circuit
65,841,4,5,4,6,12,ALO,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
66,841,4,5,4,6,27,ALO,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
67,841,4,5,4,6,42,ALO,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
68,841,13,8,7,6,13,MAS,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
69,841,13,8,7,6,31,MAS,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
70,841,13,8,7,6,48,MAS,2011,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
71,860,4,12,5,6,13,ALO,2012,Australian Grand Prix,1,,,,,,7,Ferrari,albert_park,Albert Park Grand Prix Circuit
72,860,4,12,5,6,34,ALO,2012,Australian Grand Prix,1,,,,,,7,Ferrari,albert_park,Albert Park Grand Prix Circuit
73,880,4,5,2,6,9,ALO,2013,Australian Grand Prix,1,,,,,,3,Ferrari,albert_park,Albert Park Grand Prix Circuit
74,880,4,5,2,6,20,ALO,2013,Australian Grand Prix,1,,,,,,3,Ferrari,albert_park,Albert Park Grand Prix Circuit
75,880,4,5,2,6,39,ALO,2013,Australian Grand Prix,1,,,,,,3,Ferrari,albert_park,Albert Park Grand Prix Circuit
76,880,13,4,4,6,8,MAS,2013,Australian Grand Prix,1,,,,,,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
77,880,13,4,4,6,23,MAS,2013,Australian Grand Prix,1,,,,,,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
78,880,13,4,4,6,36,MAS,2013,Australian Grand Prix,1,,,,,,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
79,926,20,4,3,6,24,VET,2015,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
80,948,20,3,3,6,13,VET,2016,Australian Grand Prix,1,,,,,,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
81,948,20,3,3,6,18,VET,2016,Australian Grand Prix,1,,,,,,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
82,948,20,3,3,6,35,VET,2016,Australian Grand Prix,1,,,,,,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
83,969,20,2,1,6,23,VET,2017,Australian Grand Prix,1,,,,,,1,Ferrari,albert_park,Albert Park Grand Prix Circuit
84,969,8,4,4,6,26,RAI,2017,Australian Grand Prix,1,,,,,,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
85,989,20,3,1,6,26,VET,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,2,Ferrari,albert_park,Albert Park Grand Prix Circuit
86,989,8,2,3,6,18,RAI,2018,Australian Grand Prix,1,24.1,36.2,38.2,3.0,True,-1,Ferrari,albert_park,Albert Park Grand Prix Circuit
87,1010,20,3,4,6,14,VET,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,-1,Ferrari,albert_park,Albert Park Grand Prix Circuit
88,1010,844,5,5,6,28,LEC,2019,Australian Grand Prix,1,23.2,72.2,42.9,0.9,False,0,Ferrari,albert_park,Albert Park Grand Prix Circuit
